return_id,order_id,return_amount,return_date
1,75722,1762.07,2023-12-08
2,80185,2179.55,2025-10-31
3,19865,676.47,2025-04-11
4,76700,1253.24,2023-12-03
5,92992,590.86,2023-08-29
6,76435,378.54,2024-01-24
7,84005,1115.86,2023-11-13
8,80918,4365.85,2026-04-22
9,60768,5787.32,2025-11-19
10,50075,2809.09,2025-09-07
11,27702,653.29,2023-06-29
12,42142,2329.1,2023-11-30
13,45081,368.94,2025-05-12
14,16639,1063.53,2023-10-26
15,20425,2410.49,2024-02-02
16,88703,4722.04,2025-05-03
17,150,5125.68,2024-08-11
18,1762,1852.38,2025-07-03
19,63121,591.82,2024-03-25
20,69162,2498.65,2024-03-28
21,64884,676.75,2024-09-13
22,2496,2032.62,2025-05-12
23,80297,500.07,2026-05-25
24,19448,2450.17,2025-05-11
25,41332,1695.98,2023-10-29
26,14889,1532.24,2024-04-23
27,88637,2897.21,2024-11-17
28,94893,2965.82,2024-01-05
29,92732,6454.23,2024-01-25
30,29131,6233.15,2025-06-10
31,79023,2022.18,2023-11-06
32,84937,2465.89,2024-06-25
33,16822,1701.98,2023-12-08
34,36734,3564.03,2025-07-19
35,15603,459.14,2023-12-16
36,28534,2196.46,2024-12-01
37,69770,1849.11,2024-09-20
38,11406,3571.65,2026-01-07
39,96853,5751.34,2023-07-03
40,16131,4731.49,2024-07-01
41,19793,1005.45,2025-08-12
42,89578,1438.77,2026-01-08
43,40164,2291.24,2024-07-01
44,31777,472.58,2025-01-27
45,25331,149.05,2025-12-26
46,79157,1233.94,2025-05-05
47,51686,890.09,2025-10-27
48,75499,564.36,2023-11-05
49,4728,3894.16,2024-06-18
50,85199,640.5,2023-08-28
51,35796,425.7,2025-03-18
52,12257,10083.51,2025-04-10
53,35719,504.88,2025-12-30
54,70552,2241.8,2024-02-22
55,54375,2698.17,2023-08-29
56,39692,1924.93,2024-05-20
57,93703,5241.3,2026-05-28
58,73692,2909.8,2026-02-22
59,98071,1786.41,2025-01-21
60,576,164.25,2023-11-25
61,84611,2282.13,2025-06-06
62,61770,5361.08,2025-09-20
63,32261,374.99,2026-02-12
64,82200,3474.26,2026-03-11
65,36291,1006.93,2025-05-28
66,78450,812.9,2023-06-29
67,60056,198.45,2024-07-28
68,45949,6025.21,2023-07-13
69,28178,3436.94,2025-02-20
70,84464,753.82,2025-11-12
71,579,44.6,2025-05-06
72,30960,1509.93,2024-10-07
73,64291,1154.52,2024-06-29
74,14532,4448.15,2025-05-08
75,17934,1188.13,2025-09-06
76,33609,1421.86,2026-05-13
77,49960,6269.06,2025-04-26
78,66599,952.08,2025-03-07
79,99090,2422.34,2024-12-19
80,34452,3385.25,2025-08-03
81,34081,1323.37,2024-11-25
82,63588,741.61,2023-11-08
83,4294,623.52,2025-10-23
84,69103,4774.8,2026-04-18
85,86412,1931.7,2024-07-11
86,99477,1389.7,2025-08-10
87,53930,5295.04,2024-09-05
88,87071,4192.08,2025-01-23
89,65084,226.27,2026-01-08
90,30713,1561.78,2026-04-02
91,49183,6035.65,2024-03-09
92,57235,667.04,2023-07-24
93,15664,3190.59,2024-02-17
94,19967,2858.39,2023-10-16
95,91913,748.58,2025-04-12
96,91958,1185.95,2026-06-10
97,81347,5545.43,2023-09-07
98,55326,3197.53,2024-06-11
99,29858,2931.13,2024-07-16
100,71223,238.31,2026-06-01
101,52459,4671.39,2023-07-27
102,88346,5406.43,2023-09-14
103,82364,3788.31,2026-03-27
104,65350,9591.34,2024-06-23
105,59650,706.35,2024-11-18
106,44953,650.02,2023-12-08
107,39526,1445.47,2025-07-22
108,13936,9616.77,2024-08-02
109,93781,1176.97,2024-01-15
110,89885,1993.53,2025-09-29
111,81144,2054.96,2026-04-19
112,95800,7042.66,2025-12-06
113,89405,1014.73,2026-01-28
114,55224,344.08,2026-01-16
115,73646,632.72,2023-12-03
116,66294,1878.83,2026-01-23
117,65540,2724.12,2025-10-15
118,28111,4734.39,2025-07-28
119,41929,2123.87,2023-09-10
120,86547,849.06,2023-11-30
121,82586,1360.35,2023-10-20
122,38604,2182.67,2025-03-04
123,91658,1857.75,2025-10-20
124,62787,9267.83,2026-03-09
125,84341,1501.95,2023-10-19
126,39875,88.68,2024-10-15
127,78469,8130.51,2025-10-03
128,31632,956.54,2024-01-10
129,14953,1798.51,2023-09-01
130,39332,3489.96,2023-08-03
131,48588,3338.76,2023-11-12
132,83595,95.88,2025-12-03
133,41488,9718.62,2024-10-03
134,39628,385.65,2026-06-08
135,87895,4019.52,2023-11-12
136,26304,7074.93,2023-09-08
137,67404,1910.0,2025-11-13
138,98085,1684.04,2024-05-05
139,95602,722.34,2023-12-12
140,5020,2143.45,2024-05-05
141,5224,2672.5,2024-08-17
142,15781,3299.0,2023-11-24
143,45557,2978.34,2024-08-29
144,12897,1888.97,2025-04-23
145,34305,5098.59,2025-11-30
146,93323,3653.38,2024-07-20
147,5325,6283.95,2024-03-13
148,52926,5547.01,2026-06-17
149,62865,486.56,2025-06-21
150,8019,1516.11,2025-07-15
151,82945,5417.43,2026-06-03
152,90377,4610.21,2025-09-27
153,41721,1522.66,2026-04-19
154,867,1129.5,2026-04-27
155,98444,10395.82,2025-05-22
156,83040,4994.53,2024-08-10
157,13925,1858.17,2024-05-31
158,79893,1097.33,2025-07-25
159,31184,3026.77,2025-11-23
160,13800,3132.92,2025-08-31
161,40989,4983.52,2026-01-13
162,66734,3441.04,2024-04-01
163,78331,89.49,2025-06-12
164,24379,661.2,2025-04-02
165,23415,74.66,2025-08-22
166,97560,734.59,2025-01-28
167,22993,2130.83,2024-05-17
168,3232,371.93,2026-06-19
169,41996,5754.59,2026-04-28
170,49188,4779.45,2025-12-11
171,22515,1579.55,2024-09-17
